ID,Make,Year of manufacture,Condition,Mileage,Engine Size,Fuel,Transmission,Price,Build,,,
257,Mercedes-Benz,2015,Foreign Used,111697,3200,Petrol,Automatic,11550000.00,Not SUV,,,
258,Lexus,2005,Foreign Used,184460,3000,Petrol,Automatic,3675000.00,Not SUV,,,
259,Lexus,2007,Nigerian Used,156579,3500,Petrol,Automatic,5200000.00,SUV,,,
260,Toyota,2009,Foreign Used,176951,2700,Petrol,Automatic,6300000.00,SUV,,,
261,Toyota,2011,Foreign Used,211357,2500,Petrol,Automatic,4515000.00,Not SUV,,,
262,Acura,2010,Foreign Used,147282,3700,Petrol,Automatic,9360000.00,SUV,,,
263,Lexus,2010,Nigerian Used,203171,4600,Petrol,Automatic,13520000.00,SUV,,,
264,Mercedes-Benz,2014,Foreign Used,33820,3500,Petrol,Automatic,11440000.00,Not SUV,,,
265,Lexus,2007,Foreign Used,158117,3500,Petrol,Automatic,3675000.00,Not SUV,,,
266,Land Rover,2016,Foreign Used,102429,35,Petrol,Automatic,36750000.00,SUV,,,
267,Toyota,2009,Foreign Used,127674,2700,Petrol,Automatic,7140000.00,Not SUV,,,
268,Mercedes-Benz,2009,Nigerian Used,100337,4600,Petrol,Automatic,4472000.00,SUV,,,
269,Toyota,2014,Foreign Used,40470,4000,Petrol,Automatic,26000000.00,SUV,,,
270,Toyota,2015,Nigerian Used,37591,3500,Petrol,Automatic,12480000.00,SUV,,,
271,Land Rover,2012,Nigerian Used,22281,4900,Petrol,Automatic,8320000.00,SUV,,,
272,Toyota,2011,Foreign Used,185047,2500,Petrol,Automatic,4200000.00,Not SUV,,,
273,Toyota,2012,Foreign Used,170038,2400,Petrol,Automatic,5250000.00,Not SUV,,,
274,Mercedes-Benz,2006,Foreign Used,239529,5000,Petrol,Automatic,4515000.00,SUV,,,
275,Lexus,2007,Foreign Used,258585,35000,Petrol,Automatic,4160000.00,Not SUV,,,
276,Mercedes-Benz,2014,Foreign Used,83189,2000,Petrol,Automatic,11232000.00,Not SUV,,,
277,Toyota,2018,Foreign Used,106543,2800,Petrol,Automatic,13520000.00,Not SUV,,,
278,Toyota,2008,Foreign Used,86802,2400,Petrol,Automatic,3045000.00,Not SUV,,,
280,Toyota,2013,Foreign Used,195785,3500,Petrol,Automatic,10400000.00,SUV,,,
281,Toyota,2008,Nigerian Used,155618,2400,Petrol,Automatic,3016000.00,SUV,,,
282,Mercedes-Benz,2016,Foreign Used,12053,35000,Petrol,Automatic,13520000.00,Not SUV,,,
283,Lexus,2017,Foreign Used,26250,3500,Petrol,Automatic,23920000.00,SUV,,,
284,Lexus,2010,Foreign Used,193624,3500,Petrol,Automatic,6032000.00,Not SUV,,,
285,Lexus,2005,Foreign Used,124007,3300,Petrol,Automatic,3150000.00,Not SUV,,,
286,Toyota,2015,Foreign Used,261250,2500,Petrol,Automatic,6300000.00,Not SUV,,,
287,Mercedes-Benz,2014,Nigerian Used,51111,2000,Petrol,Automatic,8320000.00,Not SUV,,,
288,Mercedes-Benz,2018,Foreign Used,115896,3500,Petrol,Automatic,24150000.00,SUV,,,
289,Mercedes-Benz,2004,Foreign Used,204436,2600,Petrol,Automatic,3675000.00,Not SUV,,,
290,Mercedes-Benz,2012,Foreign Used,280554,3500,Petrol,Automatic,9360000.00,Not SUV,,,
291,Toyota,2012,Foreign Used,373365,2500,Petrol,Automatic,4725000.00,Not SUV,,,
