"","ID","Make","Year","Condition","Mileage","Engine.Size","Fuel","Transmission","Price","Build","Selling.Rate"
"2644",3329,"Toyota",2003,3,426260,2400,"Petrol","Automatic",3120000,"Not SUV",120.808438283379
"2645",3332,"Honda",2006,3,218213,3500,"Petrol","Automatic",1260000,"Not SUV",105.854727600412
"2646",3333,"Nissan",2003,3,270851,2500,"Petrol","Automatic",1050000,"SUV",120.808438283379
"2647",3334,"Honda",2008,3,318649,3500,"Petrol","Automatic",1155000,"Not SUV",106.946299748744
"2648",3335,"Honda",2012,3,13226,1800,"Petrol","Automatic",3120000,"Not SUV",120.331001498127
"2649",3336,"Toyota",2002,3,166867,2500,"Petrol","Automatic",1352000,"Not SUV",103.641601889339
"2650",3337,"Peugeot",2002,2,158771,1600,"Petrol","Manual",1470000,"Not SUV",103.641601889339
"2651",3339,"Opel",2000,3,419605,1800,"Petrol","Automatic",1260000,"SUV",53.2519
"2652",3340,"Mazda",2009,3,157786,2000,"Petrol","Automatic",1800000,"Not SUV",129.358208061889
"2653",3342,"Audi",2011,3,50930,2000,"Petrol","Manual",3360000,"Not SUV",141.992968264463
"2654",3343,"Infiniti",2001,3,339881,3500,"Petrol","Automatic",1352000,"Not SUV",98.7896146341463
"2655",3344,"Peugeot",2002,3,22930,2000,"Petrol","Automatic",1470000,"Not SUV",103.641601889339
"2656",3345,"Toyota",2003,3,299999,1800,"Petrol","Automatic",1785000,"Not SUV",120.808438283379
"2657",3346,"Toyota",2005,2,90741,1800,"Petrol","Automatic",2625000,"Not SUV",107.90179476082
"2658",3347,"Toyota",2007,3,81317,3500,"Petrol","Automatic",3375000,"Not SUV",108.223808169935
"2659",3348,"Toyota",2002,3,261978,3000,"Petrol","Automatic",2025000,"SUV",103.641601889339
"2660",3349,"Toyota",2002,3,294045,2400,"Petrol","Automatic",1352000,"Not SUV",103.641601889339
"2661",3350,"Lexus",2006,3,466356,2500,"Petrol","Automatic",2835000,"Not SUV",105.854727600412
"2662",3351,"Toyota",2005,2,236042,2000,"Petrol","Automatic",3675000,"Not SUV",107.90179476082
"2663",3353,"Toyota",2007,3,174458,2400,"Petrol","Automatic",2808000,"Not SUV",108.223808169935
"2664",3355,"Mercedes-Benz",2006,3,208116,3500,"Petrol","Automatic",1155000,"Not SUV",105.854727600412
"2665",3356,"Toyota",2005,3,185120,3000,"Petrol","Automatic",1365000,"Not SUV",107.90179476082
"2666",3357,"Volkswagen",2010,3,184724,2500,"Petrol","Automatic",1050000,"Not SUV",130.380254951299
"2667",3358,"Honda",2008,3,290798,2400,"Petrol","Automatic",1470000,"Not SUV",106.946299748744
"2668",3359,"Audi",2002,2,188315,2000,"Petrol","Automatic",2310000,"Not SUV",103.641601889339
"2669",3360,"Toyota",2005,3,156336,2000,"Petrol","Automatic",1365000,"Not SUV",107.90179476082
"2670",3361,"Kia",2013,3,135005,1400,"Petrol","Automatic",1355000,"Not SUV",120.782567204696
"2671",3362,"Ford",2011,2,113188,3500,"Petrol","Automatic",4162500,"SUV",141.992968264463
"2672",3363,"Infiniti",2001,3,339881,3500,"Petrol","Automatic",1352000,"Not SUV",98.7896146341463
"2673",3364,"BMW",2001,3,225431,2200,"Petrol","Automatic",1260000,"Not SUV",98.7896146341463
"2674",3365,"Mercedes-Benz",2006,3,208116,3500,"Petrol","Automatic",1155000,"Not SUV",105.854727600412
"2675",3367,"Honda",2009,3,432233,1600,"Petrol","Automatic",1664000,"Not SUV",129.358208061889
"2676",3369,"Kia",2011,3,24798,3800,"Petrol","Automatic",4200000,"SUV",141.992968264463
"2677",3370,"Honda",2004,3,169293,3500,"Petrol","Automatic",1768000,"Not SUV",112.832138933951
"2678",3371,"Toyota",2009,3,187196,2400,"Hybrid","Automatic",1785000,"Not SUV",129.358208061889
"2679",3372,"Toyota",2005,3,180634,1500,"Petrol","Automatic",1155000,"Not SUV",107.90179476082
"2680",3373,"Mazda",2006,3,170765,2300,"Petrol","Automatic",1680000,"Not SUV",105.854727600412
"2681",3374,"Honda",2003,3,187707,2400,"Petrol","Automatic",1352000,"Not SUV",120.808438283379
"2682",3375,"Lexus",2004,3,208646,3300,"Petrol","Automatic",3848000,"Not SUV",112.832138933951
